sample_step,avg_loss,time,lr,cond
77440,2.939634,1768480278.785,0.0002,Y
78080,2.915716,1768480300.841,0.0002,Y
78720,2.931363,1768480323.619,0.0002,Y
79360,2.890012,1768480346.530,0.0002,Y
80000,2.830554,1768480368.899,0.0002,Y
80640,2.905555,1768480391.869,0.0002,Y
81280,2.860482,1768480414.560,0.0002,Y
81920,2.873737,1768480436.841,0.0002,Y
82560,2.869515,1768480459.620,0.0002,Y
83200,2.824735,1768480482.544,0.0002,Y
83840,2.849841,1768480504.763,0.0002,Y
84480,2.826264,1768480528.075,0.0002,Y
85120,2.863748,1768480549.927,0.0002,Y
85760,2.800372,1768480572.037,0.0002,Y
86400,2.873711,1768480594.254,0.0002,Y
87040,2.776757,1768480616.926,0.0002,Y
87680,2.783532,1768480639.830,0.0002,Y
88320,2.789701,1768480662.915,0.0002,Y
88960,2.734932,1768480685.509,0.0002,Y
89600,2.784125,1768480707.756,0.0002,Y
90240,2.852974,1768480729.850,0.0002,Y
90880,2.771880,1768480751.613,0.0002,Y
91520,2.770647,1768480774.062,0.0002,Y
92160,2.751276,1768480796.711,0.0002,Y
92800,2.734945,1768480818.332,0.0002,Y
93440,2.716011,1768480840.752,0.0002,Y
94080,2.742523,1768480863.226,0.0002,Y
94720,2.770183,1768480884.994,0.0002,Y
95360,2.785408,1768480906.590,0.0002,Y
96000,2.726116,1768480929.071,0.0002,Y
96640,2.694346,1768480951.636,0.0002,Y
97280,2.721790,1768480973.694,0.0002,Y
97920,2.651048,1768480996.259,0.0002,Y
98560,2.718011,1768481018.180,0.0002,Y
99200,2.735428,1768481040.189,0.0002,Y
99840,2.752449,1768481061.794,0.0002,Y
100480,2.753810,1768481083.461,0.0002,Y
101120,2.714556,1768481105.031,0.0002,Y
101760,2.754000,1768481127.140,0.0002,Y
102400,2.689782,1768481148.296,0.0002,Y
103040,2.700895,1768481169.611,0.0002,Y
103680,2.689638,1768481191.509,0.0002,Y
104320,2.637373,1768481212.856,0.0002,Y
104960,2.670909,1768481234.954,0.0002,Y
105600,2.713403,1768481256.402,0.0002,Y
106240,2.645796,1768481278.649,0.0002,Y
106880,2.626012,1768481300.251,0.0002,Y
107520,2.640454,1768481322.216,0.0002,Y
108160,2.675994,1768481344.322,0.0002,Y
108800,2.623410,1768481366.162,0.0002,Y
109440,2.633091,1768481388.049,0.0002,Y
110080,2.582141,1768481410.434,0.0002,Y
110720,2.596139,1768481432.567,0.0002,Y
111360,2.586303,1768481454.905,0.0002,Y
112000,2.693449,1768481476.468,0.0002,Y
112640,2.612438,1768481498.163,0.0002,Y
113280,2.641202,1768481520.165,0.0002,Y
113920,2.633145,1768481541.966,0.0002,Y
114560,2.585622,1768481563.912,0.0002,Y
115200,2.509601,1768481585.847,0.0002,Y
115840,2.634221,1768481607.701,0.0002,Y
116480,2.579955,1768481630.141,0.0002,Y
117120,2.581661,1768481651.943,0.0002,Y
117760,2.564645,1768481673.515,0.0002,Y
118400,2.610491,1768481695.756,0.0002,Y
119040,2.567910,1768481717.227,0.0002,Y
119680,2.604970,1768481739.328,0.0002,Y
