epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
100,10.041079,2.086018,13.205034,0.128738,0.132944,0.2667
101,10.108541,2.103912,12.988637,0.130238,0.133658,0.2720
102,10.172639,2.121002,12.777504,0.132444,0.133562,0.2773
103,10.252294,2.140322,12.604967,0.134314,0.134011,0.2827
104,10.305313,2.155597,12.385191,0.137003,0.134585,0.2880
105,10.370405,2.172772,12.203199,0.138119,0.134365,0.2933
106,10.429518,2.188606,12.015377,0.140871,0.134237,0.2987
107,10.490415,2.205985,11.825074,0.142898,0.134739,0.3040
108,10.560112,2.223427,11.673466,0.144525,0.134314,0.3093
109,10.607624,2.237624,11.482432,0.147117,0.134495,0.3147
110,10.677248,2.255556,11.333902,0.148807,0.134924,0.3200
111,10.732967,2.270979,11.171086,0.150771,0.134931,0.3253
112,10.794978,2.286515,11.029655,0.152936,0.135358,0.3307
113,10.845052,2.302043,10.857591,0.154985,0.135788,0.3360
114,10.900516,2.317463,10.710190,0.156974,0.135408,0.3413
115,10.955388,2.333166,10.562751,0.157833,0.136303,0.3467
116,11.007930,2.348138,10.419128,0.160394,0.135589,0.3520
117,11.066178,2.364070,10.285862,0.162214,0.136272,0.3573
118,11.120578,2.378744,10.156512,0.164504,0.136414,0.3627
119,11.160902,2.392707,9.999361,0.166108,0.136907,0.3680
120,11.220617,2.408542,9.884727,0.167828,0.136866,0.3733
121,11.268338,2.421044,9.766700,0.170487,0.136395,0.3787
122,11.318244,2.436127,9.635701,0.172626,0.137127,0.3840
123,11.373616,2.452001,9.520405,0.173914,0.137087,0.3893
124,11.418440,2.465114,9.396147,0.177274,0.137476,0.3947
125,11.470057,2.480197,9.284501,0.177830,0.137837,0.4000
126,11.512114,2.493376,9.162419,0.180405,0.137746,0.4053
127,11.559658,2.506648,9.055230,0.183089,0.137945,0.4107
128,11.600366,2.519210,8.943986,0.184007,0.138032,0.4160
129,11.648683,2.533760,8.834726,0.186495,0.138542,0.4213
130,11.694598,2.546758,8.735649,0.188769,0.138346,0.4267
131,11.744221,2.561311,8.637997,0.190618,0.138055,0.4320
132,11.790478,2.574362,8.542267,0.192407,0.139167,0.4373
133,11.831682,2.587783,8.439597,0.193645,0.138759,0.4427
134,11.870869,2.599795,8.339777,0.196165,0.139097,0.4480
135,11.924637,2.614315,8.258559,0.198330,0.139480,0.4533
136,11.962551,2.626567,8.161222,0.200541,0.139028,0.4587
137,11.994596,2.637022,8.061886,0.202468,0.140347,0.4640
138,12.043640,2.651999,7.977829,0.203559,0.139824,0.4693
139,12.083130,2.663489,7.892862,0.205799,0.140385,0.4747
140,12.126051,2.675873,7.809727,0.209362,0.140400,0.4800
141,12.165588,2.688849,7.718735,0.211851,0.141033,0.4853
142,12.203620,2.700671,7.638652,0.213201,0.140374,0.4907
143,12.237218,2.711605,7.552340,0.215901,0.140541,0.4960
144,12.279163,2.723525,7.480292,0.217108,0.141361,0.5013
145,12.329789,2.737639,7.410987,0.220121,0.141852,0.5067
146,12.352341,2.747302,7.316814,0.222452,0.141773,0.5120
147,12.392763,2.758781,7.249170,0.224103,0.142081,0.5173
148,12.434495,2.770873,7.181029,0.226336,0.142257,0.5227
149,12.473836,2.782622,7.112603,0.228195,0.142319,0.5280
150,12.507515,2.793463,7.039281,0.230845,0.141998,0.5333
151,12.549287,2.806508,6.969994,0.233612,0.141649,0.5387
152,12.577291,2.814522,6.903106,0.235979,0.142456,0.5440
153,12.619096,2.826237,6.844995,0.237487,0.142715,0.5493
154,12.646618,2.837718,6.759905,0.240137,0.143834,0.5547
155,12.686252,2.848428,6.706810,0.242268,0.142888,0.5600
156,12.720794,2.859447,6.641576,0.244052,0.143696,0.5653
157,12.761894,2.871076,6.585463,0.246928,0.143634,0.5707
158,12.788063,2.880537,6.515048,0.249999,0.143787,0.5760
159,12.813593,2.889135,6.452244,0.251590,0.143693,0.5813
160,12.854045,2.901029,6.395755,0.254190,0.144593,0.5867
161,12.887471,2.911751,6.336439,0.256861,0.144186,0.5920
162,12.925459,2.922989,6.283003,0.258865,0.144581,0.5973
163,12.949659,2.931646,6.218589,0.262321,0.144664,0.6027
164,12.984618,2.943737,6.157962,0.264341,0.145025,0.6080
165,13.026792,2.954292,6.118644,0.266305,0.144844,0.6133
166,13.053579,2.963300,6.060389,0.268959,0.145360,0.6187
167,13.080457,2.973224,6.000803,0.271094,0.145191,0.6240
168,13.112245,2.983615,5.946144,0.273831,0.145462,0.6293
169,13.144997,2.993543,5.896998,0.276198,0.145542,0.6347
170,13.178369,3.004074,5.844909,0.279355,0.146049,0.6400
171,13.213757,3.014293,5.800983,0.281000,0.146309,0.6453
172,13.235179,3.022489,5.742146,0.284691,0.146797,0.6507
173,13.257758,3.032041,5.683718,0.286570,0.146548,0.6560
174,13.295963,3.043355,5.639934,0.289218,0.146803,0.6613
175,13.319126,3.051391,5.588681,0.291948,0.147217,0.6667
176,13.359098,3.063039,5.548198,0.293895,0.147695,0.6720
177,13.381184,3.071302,5.497047,0.297169,0.146777,0.6773
178,13.413543,3.081289,5.454649,0.298307,0.147662,0.6827
179,13.438592,3.090843,5.402038,0.301208,0.148253,0.6880
180,13.464760,3.100119,5.352784,0.305328,0.147811,0.6933
181,13.493772,3.109177,5.311332,0.306995,0.148396,0.6987
182,13.527559,3.120594,5.265592,0.310953,0.147847,0.7040
183,13.551031,3.127937,5.224977,0.312924,0.148046,0.7093
184,13.583412,3.138691,5.182615,0.314513,0.148982,0.7147
185,13.613437,3.148048,5.143053,0.316985,0.149311,0.7200
186,13.622296,3.154553,5.085518,0.320420,0.149520,0.7253
187,13.658917,3.165054,5.049874,0.324265,0.149715,0.7307
188,13.679154,3.172738,5.005917,0.326716,0.149870,0.7360
189,13.718778,3.184709,4.972289,0.329051,0.149478,0.7413
190,13.737916,3.192766,4.924727,0.332270,0.150218,0.7467
191,13.761628,3.200884,4.885390,0.335315,0.149848,0.7520
192,13.777179,3.208246,4.836943,0.338497,0.150766,0.7573
193,13.807938,3.218911,4.798629,0.341141,0.150311,0.7627
194,13.839087,3.227727,4.768771,0.343300,0.150189,0.7680
195,13.860856,3.237058,4.723710,0.345451,0.151229,0.7733
196,13.889950,3.245692,4.690370,0.349305,0.151335,0.7787
197,13.913076,3.254161,4.652987,0.351435,0.151215,0.7840
198,13.928249,3.261714,4.605947,0.356366,0.151113,0.7893
199,13.954731,3.269900,4.571481,0.360313,0.151914,0.7947
200,13.984738,3.280435,4.539813,0.359893,0.151690,0.8000
201,13.985025,3.280632,4.536154,0.362134,0.152070,0.8000
202,13.975052,3.279923,4.526362,0.362152,0.152043,0.8000
203,13.985463,3.280422,4.537347,0.363174,0.151144,0.8000
204,13.982700,3.281185,4.530808,0.362783,0.151715,0.8000
205,13.984394,3.282066,4.529476,0.362701,0.151914,0.8000
206,13.987743,3.282372,4.532928,0.363026,0.151259,0.8000
207,13.978620,3.281297,4.524815,0.363609,0.151269,0.8000
208,13.971518,3.279953,4.518770,0.365158,0.151485,0.8000
209,13.983967,3.282670,4.524343,0.364306,0.152176,0.8000
210,13.975178,3.280881,4.520019,0.364630,0.151889,0.8000
211,13.981901,3.282319,4.523515,0.363799,0.152332,0.8000
212,13.972869,3.280083,4.519819,0.364690,0.152076,0.8000
213,13.975823,3.281471,4.519327,0.364348,0.151600,0.8000
214,13.979687,3.282135,4.520828,0.365034,0.151585,0.8000
215,13.984124,3.282744,4.523527,0.365145,0.151924,0.8000
216,13.988892,3.283749,4.528211,0.363708,0.151369,0.8000
217,13.983167,3.281717,4.527918,0.364117,0.151564,0.8000
218,13.988178,3.283239,4.529339,0.363113,0.151878,0.8000
219,13.980297,3.281584,4.525376,0.363823,0.151421,0.8000
220,13.977559,3.281442,4.522304,0.363850,0.151539,0.8000
221,13.975779,3.281381,4.520044,0.364123,0.151477,0.8000
222,13.987845,3.283658,4.525958,0.364074,0.152031,0.8000
223,13.973485,3.280551,4.518402,0.364890,0.152220,0.8000
224,13.983154,3.282579,4.524455,0.364587,0.151267,0.8000
225,13.985819,3.282512,4.527733,0.364786,0.151310,0.8000
226,13.975137,3.281370,4.518349,0.364097,0.152251,0.8000
227,13.978922,3.281916,4.521867,0.363972,0.151709,0.8000
228,13.979139,3.281506,4.523611,0.364077,0.151656,0.8000
229,13.976339,3.282376,4.515581,0.365459,0.151288,0.8000
230,13.982233,3.283478,4.519960,0.364209,0.151622,0.8000
231,13.978899,3.282630,4.519214,0.363918,0.151720,0.8000
232,13.972878,3.280319,4.518992,0.364113,0.152614,0.8000
233,13.969650,3.280174,4.516099,0.364364,0.151883,0.8000
234,13.972299,3.280108,4.520938,0.363915,0.151309,0.8000
235,13.979929,3.282230,4.521705,0.363999,0.151877,0.8000
236,13.963879,3.279851,4.509470,0.364831,0.151918,0.8000
237,13.978863,3.283472,4.515294,0.364663,0.151549,0.8000
238,13.977587,3.281173,4.523498,0.363600,0.151670,0.8000
239,13.981861,3.282719,4.523761,0.363719,0.150975,0.8000
240,13.975047,3.282161,4.516230,0.363875,0.151704,0.8000
241,13.970042,3.280992,4.514023,0.363944,0.151904,0.8000
242,13.969168,3.280427,4.515756,0.363603,0.151680,0.8000
243,13.982630,3.282661,4.526423,0.362355,0.151154,0.8000
244,13.977544,3.281831,4.520213,0.363918,0.151963,0.8000
245,13.971569,3.280945,4.517035,0.362934,0.152173,0.8000
246,13.989775,3.283585,4.531236,0.362658,0.151374,0.8000
247,13.976993,3.281004,4.523386,0.363580,0.151691,0.8000
248,13.972616,3.281054,4.519635,0.362518,0.151228,0.8000
249,13.966773,3.280246,4.514484,0.362740,0.151707,0.8000
250,13.975978,3.281499,4.519814,0.363457,0.152174,0.8000
251,13.974017,3.281505,4.518106,0.363256,0.151762,0.8000
252,13.976413,3.281869,4.518305,0.363524,0.152640,0.8000
253,13.987962,3.283896,4.525588,0.363727,0.152077,0.8000
254,13.982776,3.282038,4.527551,0.362539,0.152080,0.8000
255,13.987238,3.284348,4.522816,0.363372,0.152570,0.8000
256,13.980976,3.282178,4.527231,0.360704,0.151952,0.8000
257,13.972357,3.280792,4.519421,0.362511,0.151934,0.8000
