epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
100,8.572880,1.692316,11.947739,0.161613,0.148256,0.2667
101,8.633951,1.707469,11.759359,0.164135,0.148864,0.2720
102,8.692248,1.723226,11.564496,0.166347,0.149004,0.2773
103,8.755027,1.737273,11.409487,0.168508,0.149618,0.2827
104,8.806708,1.752697,11.207766,0.170544,0.150238,0.2880
105,8.866051,1.766919,11.052118,0.172704,0.150634,0.2933
106,8.910759,1.779397,10.870568,0.174430,0.151461,0.2987
107,8.976447,1.796184,10.719721,0.177543,0.151556,0.3040
108,9.032455,1.810180,10.575103,0.178814,0.151870,0.3093
109,9.083641,1.823752,10.418440,0.181378,0.152671,0.3147
110,9.137637,1.839029,10.265435,0.182492,0.153117,0.3200
111,9.191698,1.852942,10.129771,0.184008,0.153312,0.3253
112,9.242419,1.866157,9.987387,0.187817,0.153634,0.3307
113,9.295069,1.881174,9.846274,0.188837,0.154361,0.3360
114,9.340833,1.893736,9.705847,0.192028,0.154668,0.3413
115,9.389292,1.906973,9.575158,0.194179,0.154805,0.3467
116,9.451730,1.922794,9.468061,0.195380,0.155212,0.3520
117,9.489855,1.935797,9.316874,0.197533,0.155699,0.3573
118,9.533739,1.947871,9.196559,0.198884,0.155957,0.3627
119,9.585618,1.961379,9.089245,0.200687,0.155952,0.3680
120,9.637039,1.976186,8.970017,0.202815,0.156859,0.3733
121,9.681787,1.988576,8.856534,0.204983,0.157401,0.3787
122,9.720271,2.001017,8.731869,0.206761,0.157422,0.3840
123,9.766128,2.014222,8.621339,0.208744,0.158144,0.3893
124,9.818633,2.027658,8.528968,0.210914,0.158645,0.3947
125,9.850525,2.039911,8.393783,0.214237,0.159042,0.4000
126,9.898890,2.053145,8.304928,0.214295,0.158895,0.4053
127,9.936674,2.064216,8.200400,0.216690,0.159704,0.4107
128,9.976741,2.076730,8.097015,0.218170,0.160024,0.4160
129,10.024518,2.089583,8.008572,0.220914,0.160575,0.4213
130,10.060639,2.101635,7.903060,0.222486,0.161274,0.4267
131,10.103649,2.113357,7.817943,0.225382,0.160845,0.4320
132,10.140167,2.125343,7.723368,0.225165,0.161286,0.4373
133,10.183011,2.137800,7.634476,0.228217,0.161865,0.4427
134,10.219826,2.149347,7.542188,0.231027,0.161858,0.4480
135,10.263217,2.162643,7.457075,0.232249,0.162497,0.4533
136,10.301957,2.173189,7.383977,0.233197,0.162407,0.4587
137,10.340640,2.186097,7.291486,0.236152,0.162949,0.4640
138,10.372022,2.196662,7.203556,0.238284,0.162884,0.4693
139,10.418283,2.209712,7.132767,0.239751,0.163707,0.4747
140,10.440553,2.219195,7.036478,0.241205,0.164252,0.4800
141,10.488126,2.231692,6.972240,0.244989,0.164200,0.4853
142,10.522067,2.242679,6.895772,0.245989,0.164516,0.4907
143,10.562757,2.256250,6.818903,0.247166,0.164664,0.4960
144,10.601654,2.267346,6.752831,0.249001,0.165194,0.5013
145,10.625784,2.276249,6.670005,0.251951,0.165618,0.5067
146,10.664328,2.288809,6.598659,0.253791,0.165596,0.5120
147,10.694774,2.298726,6.523533,0.257504,0.166251,0.5173
148,10.732010,2.310312,6.459963,0.258554,0.166113,0.5227
149,10.767376,2.321853,6.392386,0.259830,0.166807,0.5280
150,10.796804,2.332787,6.316478,0.262527,0.167126,0.5333
151,10.828997,2.343989,6.247046,0.264754,0.167201,0.5387
152,10.852434,2.352371,6.179938,0.265872,0.167562,0.5440
153,10.899822,2.364909,6.132253,0.268532,0.167912,0.5493
154,10.933565,2.376532,6.068855,0.269185,0.168593,0.5547
155,10.959251,2.386574,5.998829,0.272108,0.168076,0.5600
156,10.990750,2.396810,5.937583,0.274230,0.169377,0.5653
157,11.019268,2.406789,5.876613,0.276500,0.168814,0.5707
158,11.038697,2.416243,5.802229,0.278498,0.169387,0.5760
159,11.075648,2.427666,5.749217,0.280798,0.169642,0.5813
160,11.110312,2.439518,5.692181,0.282319,0.170027,0.5867
161,11.144483,2.449934,5.639597,0.285549,0.170490,0.5920
162,11.167516,2.458659,5.579128,0.288221,0.170720,0.5973
163,11.204662,2.470989,5.525641,0.290721,0.170853,0.6027
164,11.226479,2.480243,5.466532,0.291226,0.170872,0.6080
165,11.253577,2.488549,5.417192,0.294063,0.171323,0.6133
166,11.276356,2.496923,5.362292,0.296728,0.171389,0.6187
167,11.312957,2.510030,5.307733,0.298995,0.171846,0.6240
168,11.339341,2.520833,5.248116,0.301861,0.172167,0.6293
169,11.356147,2.527706,5.194856,0.303349,0.172677,0.6347
170,11.386674,2.538160,5.147988,0.304816,0.172667,0.6400
171,11.428259,2.551792,5.101118,0.307992,0.172969,0.6453
172,11.437738,2.557863,5.042631,0.310015,0.173062,0.6507
173,11.472682,2.568578,5.004222,0.310888,0.173290,0.6560
174,11.502515,2.579918,4.952030,0.313980,0.173839,0.6613
175,11.519660,2.588570,4.894275,0.317162,0.173939,0.6667
176,11.553260,2.599564,4.854750,0.317875,0.174301,0.6720
177,11.577077,2.607943,4.808864,0.321036,0.175008,0.6773
178,11.601245,2.616987,4.763530,0.323788,0.174593,0.6827
179,11.622283,2.626898,4.708850,0.326414,0.175486,0.6880
180,11.639332,2.636257,4.654171,0.328467,0.175201,0.6933
181,11.681831,2.648081,4.626073,0.329123,0.176380,0.6987
182,11.703671,2.655645,4.586227,0.331660,0.176371,0.7040
183,11.729369,2.667210,4.535254,0.334134,0.176598,0.7093
184,11.739451,2.673454,4.485881,0.336982,0.176197,0.7147
185,11.767993,2.681777,4.454090,0.339044,0.176672,0.7200
