sample_step,avg_loss,time,lr,cond
77440,2.452804,1762263906.750,0.0002,Y
78080,2.473534,1762263943.750,0.0002,Y
78720,2.433617,1762263980.968,0.0002,Y
79360,2.470067,1762264017.964,0.0002,Y
80000,2.414235,1762264054.902,0.0002,Y
80640,2.432481,1762264091.854,0.0002,Y
81280,2.421590,1762264128.833,0.0002,Y
81920,2.353095,1762264165.900,0.0002,Y
82560,2.383568,1762264203.541,0.0002,Y
83200,2.459872,1762264240.535,0.0002,Y
83840,2.337871,1762264277.978,0.0002,Y
84480,2.354009,1762264315.424,0.0002,Y
85120,2.342295,1762264352.701,0.0002,Y
85760,2.318276,1762264389.276,0.0002,Y
86400,2.411597,1762264426.863,0.0002,Y
87040,2.376028,1762264464.257,0.0002,Y
87680,2.380491,1762264499.969,0.0002,Y
88320,2.353243,1762264537.111,0.0002,Y
88960,2.380505,1762264574.471,0.0002,Y
89600,2.319065,1762264611.339,0.0002,Y
90240,2.369181,1762264647.935,0.0002,Y
90880,2.344746,1762264685.390,0.0002,Y
91520,2.320277,1762264722.736,0.0002,Y
92160,2.316410,1762264759.428,0.0002,Y
92800,2.257541,1762264796.432,0.0002,Y
93440,2.294067,1762264833.167,0.0002,Y
94080,2.303143,1762264869.292,0.0002,Y
94720,2.272081,1762264905.527,0.0002,Y
95360,2.307228,1762264942.554,0.0002,Y
96000,2.295948,1762264979.117,0.0002,Y
96640,2.266459,1762265016.464,0.0002,Y
97280,2.329797,1762265052.723,0.0002,Y
97920,2.315367,1762265088.848,0.0002,Y
98560,2.253482,1762265125.909,0.0002,Y
99200,2.260681,1762265163.431,0.0002,Y
99840,2.224848,1762265199.928,0.0002,Y
100480,2.252135,1762265236.483,0.0002,Y
101120,2.194962,1762265273.554,0.0002,Y
101760,2.297450,1762265310.678,0.0002,Y
102400,2.261002,1762265347.544,0.0002,Y
103040,2.215128,1762265385.230,0.0002,Y
103680,2.170499,1762265422.112,0.0002,Y
104320,2.190789,1762265460.737,0.0002,Y
104960,2.155502,1762265498.168,0.0002,Y
105600,2.221391,1762265535.062,0.0002,Y
106240,2.174204,1762265572.504,0.0002,Y
106880,2.150783,1762265610.207,0.0002,Y
107520,2.128639,1762265646.701,0.0002,Y
108160,2.180851,1762265683.778,0.0002,Y
108800,2.120994,1762265721.767,0.0002,Y
109440,2.186188,1762265757.972,0.0002,Y
110080,2.084273,1762265795.045,0.0002,Y
110720,2.232074,1762265830.652,0.0002,Y
111360,2.108959,1762265868.238,0.0002,Y
112000,2.148150,1762265905.116,0.0002,Y
112640,2.107264,1762265941.977,0.0002,Y
113280,2.108668,1762265978.993,0.0002,Y
