step,avg_reward,avg_len,time,lr
94720,-0.555624,16.676,1771268092.976,2e-05
95460,-0.632161,17.014,1771268426.047,2e-05
96200,-0.556911,17.297,1771268762.589,2e-05
96940,-0.464541,17.149,1771269093.180,2e-05
97680,-0.653547,16.811,1771269421.712,2e-05
98420,-0.525039,16.473,1771269750.664,2e-05
99160,-0.687444,16.743,1771270079.445,2e-05
99900,-0.543890,16.824,1771270410.549,2e-05
100640,-1.201326,16.081,1771270739.930,2e-05
101380,-0.328559,16.297,1771271068.675,2e-05
102120,-0.926139,15.973,1771271396.928,2e-05
102860,-0.675503,16.135,1771271727.123,2e-05
103600,-0.767432,15.865,1771272057.546,2e-05
104340,-0.727426,16.716,1771272388.314,2e-05
105080,-0.374067,17.135,1771272719.191,2e-05
105820,-0.371948,16.959,1771273050.940,2e-05
106560,-0.920652,16.689,1771273381.817,2e-05
107300,-0.490950,17.108,1771273714.515,2e-05
108040,-0.630014,16.986,1771274046.530,2e-05
108780,-0.734200,17.257,1771274381.466,2e-05
109520,-0.499980,16.838,1771274716.854,2e-05
110260,-0.537055,17.149,1771275052.690,2e-05
111000,-0.702949,17.176,1771275387.360,2e-05
111740,-0.646262,16.432,1771275722.396,2e-05
112480,-0.418436,17.216,1771276059.016,2e-05
113220,-0.680940,16.932,1771276394.394,2e-05
113960,-0.703118,16.905,1771276730.065,2e-05
114700,-0.624352,16.973,1771277064.683,2e-05
115440,-0.630700,16.635,1771277400.294,2e-05
116180,-0.498894,17.541,1771277736.743,2e-05
116920,-0.568787,17.622,1771278072.153,2e-05
117660,-0.267628,17.189,1771278407.897,2e-05
118400,-0.412917,17.432,1771278742.378,2e-05
119140,-0.387418,17.405,1771279078.043,2e-05
119880,-0.493495,17.595,1771279414.208,2e-05
120620,-0.543015,16.459,1771279748.349,2e-05
121360,-0.461906,16.541,1771280082.516,2e-05
122100,-0.544757,16.986,1771280418.354,2e-05
122840,-0.421254,17.095,1771280756.231,2e-05
123580,-0.254159,17.162,1771281091.112,2e-05
124320,-0.507227,17.230,1771281426.864,2e-05
125060,-0.450175,17.432,1771281761.658,2e-05
125800,-0.135472,17.689,1771282098.320,2e-05
126540,-0.599477,17.311,1771282436.273,2e-05
127280,-0.310648,17.297,1771282772.673,2e-05
128020,-0.827607,17.338,1771283109.485,2e-05
128760,-0.495734,16.986,1771283448.377,2e-05
129500,-0.447885,16.689,1771283784.691,2e-05
130240,-0.685630,16.189,1771284119.836,2e-05
130980,-0.559748,16.568,1771284453.181,2e-05
131720,-0.620012,17.027,1771284785.425,2e-05
132460,-0.536224,16.716,1771285120.264,2e-05
133200,-0.579322,17.365,1771285454.868,2e-05
133940,-0.504000,17.486,1771285790.960,2e-05
134680,-0.509015,17.649,1771286127.831,2e-05
135420,-0.436470,17.622,1771286462.953,2e-05
136160,-0.527268,17.743,1771286799.982,2e-05
136900,-0.577221,17.568,1771287136.243,2e-05
137640,-0.463522,16.959,1771287471.117,2e-05
138380,-0.295471,17.811,1771287808.626,2e-05
139120,-0.198452,17.041,1771288144.413,2e-05
139860,-0.411448,17.311,1771288480.497,2e-05
140600,-0.339077,17.473,1771288817.816,2e-05
141340,-0.214763,17.311,1771289155.835,2e-05
142080,-0.473064,17.649,1771289491.844,2e-05
142820,-0.417327,17.959,1771289829.978,2e-05
