smiles,D,P,EG,r0
O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=N/O)c([N+](=O)[O-])c1,7.438,5.48313580354,8.53973715585,1.731
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.15,5.70478197499,8.744328764,1.848
Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.738,5.5732940665,8.64453043988,1.763
Cc1c(N)c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.755,5.5778412513,8.65329627441,1.763
O=Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.183,5.40896388664,8.39117635083,1.717
C=Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.691,5.22197613329,8.26898820951,1.598
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])cc1[N+](=O)[O-],8.097,5.68187763927,8.73069036568,1.817
O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,8.028,5.71735659468,8.59174392268,1.992
Cc1c([N+](=O)[O-])c([N+](=O)[O-])cc([N+](=O)[O-])c1[N+](=O)[O-],7.66,5.5440048823,8.6135936857,1.737
O=[N+]([O-])c1cc([N+](=O)[O-])c(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,8.242,5.71274221603,8.78262965492,1.804
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.667,5.54595838946,8.61740045183,1.737
Cc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.268,5.72489143787,8.7972462367,1.822
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.762,5.87464979252,8.9166402272,1.932
Cc1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.682,5.54985399236,8.62497078359,1.737
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],9.172,5.97711204088,9.02665788954,1.971
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.692,5.84961292287,8.90027634863,1.902
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],7.649,5.53061885565,8.62407255304,1.707
Cc1c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.883,5.598421959,8.70764824811,1.729
Cc1c([N+](=O)[O-])c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.875,5.59656839035,8.70383871969,1.729
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],7.507,5.52784052483,8.52694548286,1.807
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],7.419,5.49306144334,8.50754681436,1.774
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1O,6.964,5.3687758302,8.2940496401,1.779
COc1c([N+](=O)[O-])cc([N+](=O)[O-])c(OC)c1[N+](=O)[O-],6.908,5.29280218586,8.34616759436,1.615
Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],7.047,5.35941246591,8.42134286576,1.686
COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.076,5.35611446527,8.39908510294,1.655
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],7.095,5.38265851498,8.38981426209,1.712
CCOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.698,5.22143632221,8.28045768658,1.591
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.353,5.46425544409,8.49105453381,1.742
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],6.959,5.3239851133,8.38867776918,1.658
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.874,5.28826703069,8.34402957241,1.629
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,7.8,5.63228647295,8.5642675988,1.897
N#Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.19,5.41164605186,8.40133330532,1.719
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],7.608,5.56337032094,8.53503310954,1.835
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],7.672,5.59024043326,8.54441917767,1.867
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],6.22,5.04084113615,8.15017926968,1.512
CC(COC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.315,5.43851399704,8.4471998196,1.699
O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.3,5.47016762347,8.38867776918,1.801
Cc1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1,6.927,5.30380229678,8.37493814384,1.629
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,7.274,5.43109847778,8.45297461909,1.709
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],6.524,5.15848042136,8.24196656023,1.565
COC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.833,5.29129275161,8.24512196648,1.667
O=[N+]([O-])c1cccc(C([N+](=O)[O-])[N+](=O)[O-])c1,6.831,5.26837349017,8.32336569444,1.61
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,7.532,5.53299415368,8.51077262361,1.802
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nccn2)c([N+](=O)[O-])c1,7.166,5.39816270152,8.45850419507,1.701
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ncc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.322,5.46763811116,8.4621032251,1.776
O=C1N([N+](=O)[O-])C2C(C3C2N([N+](=O)[O-])C(=O)N3[N+](=O)[O-])N1[N+](=O)[O-],8.723,5.85449869203,8.91570081896,1.894
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2n[nH]c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.351,5.47311065692,8.49515206054,1.769
Cn1nc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],7.555,5.52146091786,8.57583938685,1.751
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.461,5.50655030513,8.52496292868,1.781
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cnc([N+](=O)[O-])[nH]2)c([N+](=O)[O-])c1,7.343,5.46637095154,8.48982199462,1.756
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2[nH]c([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.85,5.62437845187,8.64505856241,1.83
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2[nH]cnc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.336,5.46467890376,8.48570252432,1.756
O=[N+]([O-])C1([N+](=O)[O-])COC2(OC1)OCC([N+](=O)[O-])([N+](=O)[O-])CO2,7.871,5.61422239794,8.60392119493,1.784
Cn1nc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],7.563,5.52186083788,8.58391682346,1.746
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c[nH]nn2)c([N+](=O)[O-])c1,7.203,5.41521111802,8.47532898732,1.719
O=[N+]([O-])c1n[nH]c(-c2nc([N+](=O)[O-])n[nH]2)n1,8.115,5.70910163613,8.69951474821,1.89
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nonc2Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.52,5.52305963923,8.55641390457,1.783
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],9.434,6.04001658769,9.10952506674,1.994
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])c(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])c3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.618,5.55991210424,8.56388591941,1.816
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.623,5.56106617245,8.56636423542,1.816
O=[N+]([O-])c1cc([N+](=O)[O-])c(NC2N=CC=CN2c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,6.998,5.34710753072,8.39863485529,1.69
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.49,5.51302543904,8.54188580401,1.776
O=C(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.968,5.34901048086,8.3089382526,1.719
O=c1[nH]nc([N+](=O)[O-])[nH]1,7.961,5.67160357629,8.55333223803,1.892
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2noc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.421,5.49675830522,8.50329708622,1.783
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnc2)c([N+](=O)[O-])c1,6.735,5.25488780862,8.28979058318,1.647
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2cc([N+](=O)[O-])cn2)c([N+](=O)[O-])c1,7.379,5.46890366712,8.51619269108,1.735
O=[N+]([O-])c1cc(-n2cc([N+](=O)[O-])nn2)cc([N+](=O)[O-])c1,7.131,5.38861500453,8.43901541035,1.701
O=[N+]([O-])c1cn(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)nn1,7.175,5.40087395487,8.46379241469,1.701
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2ccnn2)c1[N+](=O)[O-],7.274,5.43807930892,8.51036996607,1.729
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnn2)c([N+](=O)[O-])c1,7.196,5.40672324039,8.4757460015,1.701
Cn1c([N+](=O)[O-])nc([N+](=O)[O-])c1[N+](=O)[O-],8.224,5.69876993283,8.77894188184,1.775
O=[N+]([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,8.961,5.92157841964,8.94363670591,1.939
O=[N+]([O-])c1c[nH]c([N+](=O)[O-])n1,8.043,5.66330764209,8.69701161799,1.801
O=[N+]([O-])c1cn([N+](=O)[O-])cn1,8.098,5.65948221576,8.7522653136,1.75
O=[N+]([O-])c1cnc(/N=N/c2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.317,5.45060917689,8.49515206054,1.731
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(/N=N/c3c([N+](=O)[O-])cc([N+](=O)[O-])c(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])c3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.692,5.57859710923,8.59987855803,1.814
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,7.4,5.48272008955,8.52337405049,1.759
O=[N+]([O-])N1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2[N+](=O)[O-],8.114,5.65143599428,8.80896688177,1.716
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.316,5.46974648218,8.45595588195,1.787
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc(Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3[N+](=O)[O-])c([N+](=O)[O-])c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.393,5.4905892542,8.49331025095,1.787
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N1CN(C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CN(C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C1,8.249,5.69709348651,8.77245537261,1.753
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,8.63,5.78873618054,8.91637191488,1.757
Nc1nonc1[N+](=O)[O-],8.699,5.84701664274,8.91045075642,1.888
O=[N+]([O-])N1C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.956,5.88610403145,8.98981838137,1.827
Nc1n[nH]c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])n1,7.209,5.42671058132,8.46189187563,1.747
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.58,5.54595838946,8.5519810169,1.804
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.267,5.44802963978,8.44074401925,1.762
O=[N+]([O-])c1ccc(Cn2c([N+](=O)[O-])nnc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.4,5.47058858749,8.53679972106,1.724
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.035,5.35705786157,8.39253658682,1.688
Cn1nc([N+](=O)[O-])nc1[N+](=O)[O-],7.991,5.62437845187,8.70797882662,1.726
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])c2)c([N+](=O)[O-])c1,7.274,5.44975007031,8.44419229853,1.762
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.268,5.44802963978,8.44095988542,1.762
O=[N+]([O-])c1cc([N+](=O)[O-])on1,8.528,5.79301360838,8.85779972718,1.841
O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2nc(/N=N/c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.668,5.56337032094,8.60922527686,1.787
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.506,5.51584517908,8.54032360881,1.772
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],7.592,5.54985399236,8.57470709762,1.806
O=C1c2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc2C(=O)c2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc21,7.332,5.48728346606,8.46062283993,1.828
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nnc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,7.507,5.5198596365,8.55910259449,1.783
