step,avg_reward,avg_len,time,lr
94720,-0.556837,38.284,1771285377.413,2e-05
95460,-1.143145,33.824,1771285740.319,2e-05
96200,-1.346890,35.338,1771286100.295,2e-05
96940,-0.743736,35.041,1771286468.609,2e-05
97680,-0.607358,39.932,1771286835.632,2e-05
98420,-1.558336,38.108,1771287205.982,2e-05
99160,-0.574381,40.176,1771287577.717,2e-05
99900,-0.596235,40.770,1771287950.615,2e-05
100640,-0.465281,38.514,1771288321.901,2e-05
101380,-0.381966,40.324,1771288696.347,2e-05
102120,-0.778489,36.946,1771289071.679,2e-05
102860,-0.377804,40.959,1771289450.549,2e-05
103600,-0.495923,41.703,1771289825.708,2e-05
104340,-0.476967,45.027,1771290200.234,2e-05
105080,-0.304643,43.405,1771290585.736,2e-05
105820,-0.555932,43.405,1771290966.256,2e-05
106560,-0.654096,39.257,1771291340.939,2e-05
107300,-0.718125,37.635,1771291722.175,2e-05
108040,-0.415121,40.405,1771292098.762,2e-05
108780,-0.662533,39.527,1771292472.299,2e-05
109520,-0.538590,35.919,1771292843.526,2e-05
110260,-0.474943,36.324,1771293214.794,2e-05
111000,-0.371944,38.824,1771293585.837,2e-05
111740,-0.449157,37.730,1771293951.921,2e-05
112480,-0.498037,34.446,1771294329.197,2e-05
113220,-0.473857,38.108,1771294703.310,2e-05
113960,-0.525440,37.568,1771295079.427,2e-05
114700,-0.462151,38.946,1771295455.598,2e-05
115440,-0.601103,40.243,1771295832.604,2e-05
116180,-0.431415,39.500,1771296204.563,2e-05
116920,-0.372463,42.459,1771296584.063,2e-05
117660,-0.442375,37.378,1771296959.319,2e-05
118400,-0.594957,42.108,1771297340.929,2e-05
119140,-0.415352,41.743,1771297717.815,2e-05
119880,-0.373670,41.541,1771298095.459,2e-05
120620,-0.309899,41.419,1771298475.053,2e-05
121360,-0.347117,41.865,1771298852.238,2e-05
122100,-0.491296,43.297,1771299237.237,2e-05
122840,-0.364671,39.014,1771299615.682,2e-05
123580,-0.278581,43.257,1771300003.960,2e-05
124320,-0.344951,41.676,1771300386.130,2e-05
125060,-14.743444,43.365,1771300770.139,2e-05
125800,-0.431418,43.662,1771301153.173,2e-05
126540,-1.376141,41.743,1771301529.135,2e-05
127280,-0.342941,40.757,1771301912.654,2e-05
128020,-0.438008,41.041,1771302297.204,2e-05
128760,-0.338756,43.054,1771302673.384,2e-05
129500,-0.303670,38.000,1771303050.087,2e-05
130240,-0.446319,41.297,1771303434.439,2e-05
130980,-0.320944,41.324,1771303816.458,2e-05
131720,-0.495142,42.635,1771304196.948,2e-05
132460,-0.338792,44.405,1771304582.637,2e-05
133200,-0.395131,41.365,1771304968.248,2e-05
133940,-0.623313,41.730,1771305349.530,2e-05
134680,-0.270415,43.257,1771305740.028,2e-05
135420,-0.398114,43.824,1771306131.538,2e-05
136160,-0.315110,44.149,1771306517.402,2e-05
136900,-0.234916,42.486,1771306901.193,2e-05
137640,-0.461426,42.095,1771307291.163,2e-05
138380,-0.390872,40.149,1771307672.746,2e-05
139120,-0.325199,44.351,1771308056.191,2e-05
139860,-0.672308,42.541,1771308442.163,2e-05
140600,-0.397936,43.405,1771308829.642,2e-05
141340,-0.213968,44.635,1771309212.341,2e-05
142080,-0.337257,44.270,1771309602.767,2e-05
142820,-0.543573,41.676,1771309990.596,2e-05
143560,-0.356942,43.878,1771310373.760,2e-05
144300,-0.948457,39.122,1771310758.104,2e-05
145040,-0.302900,42.189,1771311135.420,2e-05
145780,-0.503469,43.554,1771311516.455,2e-05
146520,-0.178361,44.730,1771311901.277,2e-05
147260,-0.545461,45.743,1771312286.214,2e-05
148000,-0.927346,44.486,1771312681.699,2e-05
148740,-0.272873,47.284,1771313070.603,2e-05
149480,-0.565636,45.635,1771313451.780,2e-05
150220,-0.597784,43.905,1771313844.035,2e-05
150960,-0.255742,46.892,1771314236.640,2e-05
151700,-0.320752,44.811,1771314628.145,2e-05
152440,-0.265063,44.257,1771315010.636,2e-05
153180,-0.437600,45.405,1771315403.830,2e-05
153920,-0.341999,48.000,1771315790.442,2e-05
154660,-0.285361,46.838,1771316175.156,2e-05
155400,-0.457684,44.973,1771316556.542,2e-05
156140,-0.300747,47.365,1771316950.785,2e-05
156880,-0.317295,43.622,1771317333.951,2e-05
157620,-0.361972,46.459,1771317716.689,2e-05
158360,-0.384968,47.297,1771318102.824,2e-05
159100,-0.635696,47.000,1771318491.599,2e-05
159840,-0.196275,44.405,1771318870.710,2e-05
160580,-0.331876,43.378,1771319258.356,2e-05
161320,-0.390797,46.703,1771319648.026,2e-05
162060,-0.385646,46.730,1771320028.057,2e-05
162800,-0.282473,45.216,1771320418.135,2e-05
163540,-1.057598,44.338,1771320798.697,2e-05
164280,-0.302985,44.959,1771321187.873,2e-05
165020,-0.316290,48.135,1771321570.407,2e-05
165760,-0.242048,45.865,1771321952.036,2e-05
166500,-0.229116,43.622,1771322343.270,2e-05
167240,-0.266515,44.878,1771322728.892,2e-05
167980,-0.300556,47.338,1771323113.799,2e-05
168720,-0.458727,46.486,1771323499.978,2e-05
169460,-0.334028,46.324,1771323884.532,2e-05
170200,-0.345980,47.514,1771324272.603,2e-05
170940,-0.294578,52.068,1771324661.508,2e-05
171680,-0.202498,47.446,1771325049.080,2e-05
172420,-0.207851,43.554,1771325424.549,2e-05
173160,-0.269215,47.554,1771325814.388,2e-05
173900,-0.412875,49.311,1771326202.878,2e-05
174640,-0.266101,46.838,1771326582.778,2e-05
175380,-0.149176,44.270,1771326974.275,2e-05
176120,-0.375519,45.419,1771327355.004,2e-05
176860,-0.290120,47.838,1771327736.925,2e-05
177600,-0.273719,48.419,1771328129.029,2e-05
178340,-0.214398,46.351,1771328511.142,2e-05
179080,-0.338131,46.770,1771328894.185,2e-05
179820,-0.292796,46.338,1771329291.660,2e-05
180560,-0.307352,47.095,1771329677.914,2e-05
181300,-0.395969,46.757,1771330065.789,2e-05
182040,-0.194267,46.257,1771330453.862,2e-05
182780,-0.191494,45.176,1771330841.498,2e-05
183520,-0.384750,44.757,1771331225.764,2e-05
184260,-0.222668,44.878,1771331611.863,2e-05
185000,-0.689096,45.284,1771331987.780,2e-05
185740,-0.288982,47.284,1771332385.893,2e-05
186480,-0.208287,47.351,1771332788.682,2e-05
187220,-0.201069,47.541,1771333195.486,2e-05
187960,-0.209019,46.176,1771333599.162,2e-05
188700,-0.213508,48.324,1771333994.170,2e-05
189440,-0.271241,49.905,1771334403.885,2e-05
190180,-0.278446,46.068,1771334797.189,2e-05
190920,-0.247713,49.243,1771335198.948,2e-05
191660,-0.293073,46.027,1771335586.398,2e-05
192400,-0.252786,48.324,1771335986.150,2e-05
193140,-0.193649,45.824,1771336371.169,2e-05
193880,-0.339167,48.851,1771336756.168,2e-05
194620,-0.269189,48.946,1771337152.806,2e-05
195360,-0.212220,48.892,1771337539.116,2e-05
196100,-0.251943,48.203,1771337922.535,2e-05
196840,-0.305079,47.919,1771338307.984,2e-05
197580,-0.339648,48.676,1771338695.888,2e-05
198320,-0.299094,49.311,1771339082.322,2e-05
199060,-0.196255,48.865,1771339471.461,2e-05
199800,-0.313901,49.824,1771339863.541,2e-05
200022,-0.245435,49.527,1771339988.327,2e-05
